Diego Mendez	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Abde Ezzalzouli 	8	313	0	2	0	0	10	3	30% 	11	2	18% 	0	8	9	8	2	9	0	0	1	0	0	0	0	0	0	0	0	0	8	3	70% 	0	1	1	1	1	0
Abdon Prats 	10	136	0	0	0	0	5	3	60% 	0	0	0% 	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	76% 	0	0	0	0	0	0
Abdul Mumin 	2	102	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	84% 	0	0	0	0	0	0
Adnan Januzaj 	2	47	0	0	0	0	0	0	0% 	1	0	0% 	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	68% 	1	0	0	0	0	0
Adrián Embarba 	10	458	1	3	0	0	13	4	31% 	39	9	23% 	0	7	9	10	3	7	0	0	4	1	0	0	0	0	0	0	0	0	13	11	74% 	19	5	1	4	2	1
Agustín Marchesín 	14	1260	0	0	33	26	0	0	0% 	0	0	0% 	0	0	4	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	68% 	0	10	0	0	0	0
Aihen Muñoz 	9	666	0	0	0	0	2	1	50% 	17	5	29% 	0	6	4	11	3	10	0	0	0	0	0	0	0	0	0	0	4	0	2	4	84% 	0	1	0	0	0	0
Aimar Oroz 	12	775	2	1	0	0	9	4	44% 	3	0	0% 	0	3	24	16	11	4	0	0	3	0	0	0	1	1	0	0	0	0	6	11	80% 	0	0	0	0	0	0
Aissa Mandi 	7	261	0	0	0	0	0	0	0% 	1	0	0% 	0	0	3	6	8	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	90% 	0	1	0	0	0	0
Aitor Fernández 	4	360	0	0	10	3	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	65% 	0	5	0	0	0	0
Aitor Paredes 	3	23	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88% 	0	1	0	0	0	0
Aitor Ruibal 	13	563	0	0	0	0	7	1	14% 	7	2	29% 	0	3	6	13	13	8	0	0	1	0	0	0	0	0	0	0	0	0	8	7	78% 	0	2	0	0	0	0
Alberto Flores 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Alberto Moreno 	6	368	0	0	0	0	3	1	33% 	11	4	36% 	0	3	4	6	7	3	0	0	3	0	0	0	0	0	0	0	1	0	2	5	84% 	1	0	0	0	0	0
Alberto Moreno 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Aleix García 	14	1246	0	3	0	0	21	9	43% 	95	42	44% 	1	10	19	11	18	7	0	0	1	0	0	0	0	0	0	0	4	0	8	35	90% 	39	40	13	3	1	0
Aleix Vidal 	9	446	0	0	0	0	2	1	50% 	12	2	17% 	0	0	8	9	4	1	0	0	3	0	0	0	0	0	0	0	1	0	1	4	77% 	0	0	0	0	0	0
Alejandro Balde 	12	968	0	3	0	0	6	2	33% 	11	5	45% 	0	3	12	6	5	13	0	0	2	0	0	0	0	0	0	0	1	0	11	8	92% 	0	1	0	0	0	0
Alejandro Catena 	14	1260	1	1	0	0	3	2	67% 	1	0	0% 	0	0	8	12	6	2	0	0	5	0	0	0	0	0	0	0	8	0	0	3	83% 	0	10	0	0	0	0
Alejandro Pozo 	10	580	0	1	0	0	3	1	33% 	25	7	28% 	0	4	3	1	11	5	0	0	0	0	0	0	0	0	0	0	4	0	0	7	72% 	0	0	0	0	0	0
Alex Rodríguez 	0	0	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Alex Telles 	13	753	0	2	0	0	4	0	0% 	56	15	27% 	0	2	8	14	7	5	0	0	4	0	0	0	0	0	0	0	1	0	6	13	82% 	13	12	1	1	0	0
Alexander Isak 	2	152	1	0	0	0	3	1	33% 	2	0	0% 	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	64% 	0	0	0	0	0	0
Alexander Sörloth 	10	820	4	1	0	0	24	14	58% 	1	0	0% 	2	7	3	14	0	3	0	0	1	0	0	0	0	0	0	0	1	0	9	12	69% 	0	0	0	0	0	0
Alfonso Espino 	14	1142	0	3	0	0	9	1	11% 	24	4	17% 	1	2	10	21	12	22	0	0	3	0	2	0	0	0	0	0	5	0	6	9	65% 	0	3	0	0	0	0
Alfonso Pedraza 	10	805	0	1	0	0	15	6	40% 	34	5	15% 	0	11	10	13	4	16	0	0	1	0	0	0	0	0	0	0	1	0	12	6	80% 	0	1	0	0	0	0
Amath Ndiaye 	7	243	1	0	0	0	7	3	43% 	2	1	50% 	0	2	3	5	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	1	77% 	0	0	0	0	0	0
Ander Barrenetxea 	4	62	0	0	0	0	1	1	100% 	0	0	0% 	0	1	0	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	3	0	70% 	0	0	0	0	0	0
Ander Capa 	1	-1	0	0	0	0	0	0	0% 	0	0	0% 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0% 	0	0	0	0	0	0
Ander Guevara 	4	126	0	0	0	0	1	0	0% 	0	0	0% 	1	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	91% 	0	0	0	0	0	0
